"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.76624,
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-03",98.73968,
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-04",93.33814,
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-05",94.07337,
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-06",97.53185,
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-07",99.13783,
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.32848,
"IRL","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.34051,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-01",100.1649,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.98676,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.83578,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.71233,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.62253,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.55047,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.49114,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.4626,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.46603,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.4921,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.53331,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.58569,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.64524,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.69759,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-03",99.23099,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-04",97.14463,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-05",98.0295,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-06",99.02921,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-07",99.88418,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.87541,
"FIN","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.8653,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-01",100.4323,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-02",100.3937,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-03",100.328,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-04",100.2195,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-05",100.0959,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.98488,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.89579,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.8572,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.84926,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.83625,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.79606,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.71259,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.59054,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.47082,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.45461,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2020-04",95.42574,
"DNK","CLI","AMPLITUD","LTRENDIDX","M","2020-05",97.31329,
